day	hour	value
1	1	15
1	2	14
1	3	14
1	4	22
1	5	4
1	6	0
1	7	14
1	8	2
1	9	6
1	10	1
1	11	0
1	12	1
1	13	1
1	14	3
1	15	2
1	16	3
1	17	6
1	18	6
1	19	15
1	20	11
1	21	15
1	22	7
1	23	23
1	24	6
2	1	13
2	2	14
2	3	4
2	4	14
2	5	14
2	6	8
2	7	4
2	8	3
2	9	0
2	10	0
2	11	2
2	12	1
2	13	2
2	14	3
2	15	6
2	16	8
2	17	12
2	18	12
2	19	16
2	20	12
2	21	8
2	22	12
2	23	15
2	24	9
3	1	11
3	2	21
3	3	21
3	4	16
3	5	15
3	6	4
3	7	21
3	8	0
3	9	2
3	10	0
3	11	1
3	12	1
3	13	3
3	14	6
3	15	6
3	16	14
3	17	18
3	18	16
3	19	8
3	20	3
3	21	7
3	22	10
3	23	11
3	24	12
4	1	16
4	2	12
4	3	16
4	4	11
4	5	7
4	6	4
4	7	16
4	8	4
4	9	3
4	10	0
4	11	1
4	12	3
4	13	2
4	14	5
4	15	12
4	16	10
4	17	11
4	18	5
4	19	9
4	20	7
4	21	10
4	22	8
4	23	14
4	24	10
5	1	19
5	2	11
5	3	14
5	4	22
5	5	7
5	6	6
5	7	14
5	8	2
5	9	1
5	10	0
5	11	0
5	12	1
5	13	3
5	14	7
5	15	6
5	16	8
5	17	6
5	18	4
5	19	13
5	20	14
5	21	10
5	22	11
5	23	13
5	24	12
6	1	10
6	2	12
6	3	15
6	4	12
6	5	10
6	6	7
6	7	15
6	8	2
6	9	1
6	10	1
6	11	1
6	12	2
6	13	2
6	14	3
6	15	8
6	16	14
6	17	15
6	18	15
6	19	11
6	20	14
6	21	10
6	22	21
6	23	6
6	24	13
7	1	14
7	2	17
7	3	11
7	4	7
7	5	8
7	6	3
7	7	11
7	8	0
7	9	5
7	10	1
7	11	0
7	12	0
7	13	1
7	14	3
7	15	12
7	16	3
7	17	7
7	18	12
7	19	12
7	20	18
7	21	11
7	22	12
7	23	7
7	24	12
